related_law,질문,답변
"['건축법 2조', '건축법 19조의2', '건축법 시행규칙 12조의3']",건축물대장을 보니 건축물의 용도가 적혀 있는데요. 이러한 용도는 건축물마다 1개씩만 인정되는 건가요?,"아닙니다. 건축주는 건축물의 용도를 복수로 하여 건축허가, 건축신고 및 용도변경 허가·신고 또는 건축물대장 기재내용의 변경을 신청할 수 있습니다.
☞ “건축물의 복수용도”란 하나의 공간(실)이 2종류 이상의 용도시설인 것을 말합니다.
· 건축물의 복수용도는 「건축법」 및 관계 법령에 정한 건축기준과 입지기준 등에 모두 적합한 경우에 한해 허용됩니다.
· 건축물의 복수용도는 원칙적으로 같은 시설군 내에서 허용되나, 지방건축위원회의 심의를 거쳐 다른 시설군의 용도 간의 복수용도가 허용될 수 있습니다."
"['건축법 19조', '건축법 시행령 14조']","현재 한 층의 면적이 200제곱미터인 건물의 2개 층을 고시원으로 운영하고 있는데, 관광객을 위한 호스텔로 업종을 변경할까 생각 중입니다. 이련 경우 어떻게 용도변경을 해야 하나요?","총 면적이 400제곱미터인 고시원을 관광객을 위한 호스텔로 용도를 변경하려는 경우에는 “건축물대장 기재내용의 변경 신청”을 하여 용도변경 할 수 있습니다.
☞ 해당 용도로 사용하는 바닥면적의 합계가 500제곱미터 미만인 고시원은 제2종 근린생활시설 중 다중생활시설에 해당하며, 유스호스텔이 아닌 일반호스텔은 관광숙박시설에 해당합니다.
☞ 제2종 근린생활시설 중 다중생활시설은 영업시설군에 속하고, 관광숙박시설 역시 영업시설군에 속합니다.
☞ 따라서 같은 시설군 안에서의 용도변경에 해당하므로, 이러한 용도변경을 하려는 자는 특별자치시장·특별자치도지사 또는 시장·군수·구청장에게 건축물대장 기재내용의 변경을 신청하여야 합니다."
"['건축법 19조', '건축법 시행령 14조']","한 층이 150제곱미터인 4층 건물 전체를 일반음식점으로 사용하고 있는데, 사무실로 변경하려고 합니다. 이련 경우 용도변경을 어떻게 해야 하나요?","총 면적이 600제곱미터인 일반음식점을 사무실로 변경하고자 하는 경우에는 용도변경 “신고”로 용도변경 할 수 있습니다.
☞ 일반음식점은 제2종 근린생활시설에 해당하며, 600제곱미터의 사무실은 업무시설에 해당합니다.
☞ 제2종 근린생활시설은 근린생활시설군에 속하고, 업무시설은 주거업무시설군에 해당하여 근린생활시설군보다 하위의 시설군입니다.
☞ 상위 시설군의 용도를 하위 시설군의 용도로 변경하려는 자는 특별자치시장·특별자치도지사 또는 시장·군수·구청장에게 신고를 해야 합니다.
☞ 또한, 용도변경하려는 부분의 바닥면적의 합계가 100제곱미터 이상인 경우이므로 용도변경 신고와 별도로 건축물의 사용승인을 받아야 합니다."
"['건축법 19조', '건축법 시행령 14조']",지금 살고 있는 단독주택을 일반음식점으로 바꾸려고 합니다. 이련 경우 용도변경을 어떻게 해야 하나요?,"단독주택을 일반음식점으로 용도를 변경하고자 하는 경우에는 상위군에 해당하는 용도로 변경하는 것이므로 용도변경 “허가신청” 절차에 따라야 합니다.
☞ 단독주택은 주거업무시설군에 해당하고, 일반음식점은 제2종 근린생활시설로 근린생활시설군에 해당합니다.
☞ 주거업무시설군은 근린생활시설군보다 하위 시설군이므로, 상위 시설군인 근린생활시설군에 해당하는 용도로 변경하고자 하는 경우에는 특별자치시장·특별자치도지사 또는 시장·군수·구청장의 허가를 받아야 합니다."
"['건축법 19조', '건축법 시행령 14조']","요즘 업종변경을 생각하고 있어 용도변경에 대해 알고 싶습니다. 건축물의 용도변경을 하기 전에 용도와 시설군에 대해 확인해야 한다고 들었는데, 용도와 시설군이 뭔가요?","건축물의 용도는 「건축법」에 따라 29개로 나뉘며, 각각의 용도는 9개의 시설군으로 분류됩니다.
☞ “건축물의 용도”란 건축물의 종류를 유사한 구조, 이용 목적 및 형태별로 묶어 분류한 것을 말하며, 「건축법」에 따라 29개의 용도로 구분됩니다.
☞ 또한, 각 용도는 다음과 같이 각각의 시설군으로 구분됩니다.
☞ 시설군은 1에 가까울수록 상위군이고, 9에 가까울수록 하위군입니다.
· 하위 시설군의 용도에서 상위 시설군의 용도로 변경하려는 경우에는 용도변경의 허가를 받아야 하고, 상위 시설군의 용도에서 상위 시설군의 용도로 변경하려는 경우에는 용도변경의 신고를 하여야 합니다.
1 | 자동차 관련 시설군 | ▪ 자동차 관련 시설
2 | 산업 등의 시설군 | ▪ 운수시설 ▪ 창고시설 ▪ 공장 ▪ 위험물저장 및 처리시설 ▪ 자원순환 관련 시설 ▪ 묘지관련 시설 ▪ 장례시설
3 | 전기통신시설군 | ▪ 방송통신시설 ▪ 발전시설
4 | 문화 및 집회시설군 | ▪ 문화 및 집회시설 ▪ 종교시설 ▪ 위락시설 ▪ 관광휴게시설
5 | 영업시설군 | ▪ 판매시설 ▪ 운동시설 ▪ 숙박시설 ▪ 제2종 근린생활시설 중 다중생활시설
6 | 교육 및 복지시설군 | ▪ 의료시설 ▪ 교육연구기설 ▪ 노유자시설(老幼者施設) ▪ 수련시설 ▪ 야영장 시설
7 | 근린생활시설군 | ▪ 제1종 근린생활시설 ▪ 제2종 근린생활시설(대중생활시설은 제외함)
8 | 주거업무시설군 | ▪ 단독주택 ▪ 공동주택 ▪ 업무시설 ▪ 교정 및 군사시설
9 | 그 밖의 시설군 | ▪ 동물 및 식물 관련 시설"
"['건축법 19조', '건축법 시행령 14조']","현재 80제곱미터의 상가를 임차하여 일반음식점으로 사용하고 있는데, 사무실로 변경하려고 합니다. 이런 경우 용도변경을 어떻게 해야 하나요?","80제곱미터 면적의 일반음식점을 사무실로 변경하고자 하는 경우에는 별도의 절차 없이 용도를 변경할 수 있습니다.
☞ 30제곱미터 이상 500제곱미터 미만의 일반업무시설과 일반음식점은 모두 제2종 근린생활시설에 해당합니다.
☞ 이는 「건축법 시행령」 별표 1의 같은 호에 속하는 건축물 상호 간의 용도변경에 해당하여, 용도변경의 허가 신청·신고 또는 건축물 기재사항 변경신청 없이 용도변경을 할 수 있습니다.
☞ 다만, 용도의 임의변경이 가능한 경우에도 변경하려는 용도의 건축기준에 적합해야 합니다."
"['건축법 79조', '건축법 80조', '건축법 86조', '건축법 108조', '건축법 110조']",불법용도변경을 한 경우에는 어떻게 처벌받나요?,"불법용도변경을 하면 허가 또는 승인의 취소·시정명령을 받을 수 있고, 다른 법령에 따른 허가 등이 거부될 수 있으며, 시정명령을 받은 후 이를 이행하지 않는 경우 이행강제금을 부과 받을 수도 있습니다. 또한, 형사처벌을 받을 수도 있습니다.
☞ 허가·승인의 취소와 시정명령
· 용도변경의 허가권자는 「건축법」에 위반한 용도변경행위에 대해 허가 또는 승인을 취소하거나 그 건축물의 건축주·공사시공자·현장관리인·소유자·관리자 또는 점유자(이하 “건축주 등”이라 함)에게 공사의 중지를 명하거나 상당한 기간을 정하여 그 건축물의 해체·개축·증축·수선·용도변경·사용금지·사용제한, 그 밖에 필요한 조치를 명할 수 있습니다.
☞ 행위 허가 등 거부 요청
· 허가권자는 위에 따라 허가나 승인이 취소된 건축물 또는 시정명령을 받고 이행하지 않은 건축물에 대하여는 다른 법령에 따른 영업이나 그 밖의 행위를 허가·면허·인가·등록·지정 등을 하지 않도록 해당 허가관청에 요청할 수 있으며, 요청을 받은 허가관청은 특별한 이유가 없으면 요청에 따라야 합니다.
☞ 이행강제금의 부과
· 허가권자는 위에 따라 시정명령을 받은 후 시정기간 내에 시정명령을 이행하지 않은 건축주 등에게 그 시정명령의 이행에 필요한 상당한 이행기한을 정하여 그 기한까지 시정명령을 이행하지 않으면 이행강제금을 부과합니다.
☞ 벌칙
· 도시지역에서 용도변경 위반 행위를 한 건축주 및 공사시공자는 3년 이하의 징역이나 5억원 이하의 벌금에 처해집니다. 이 경우 징역과 벌금은 병과(倂科)할 수 있습니다.
· 도시지역 밖에서 용도변경 위반 행위를 한 건축주 및 공사시공자는 2년 이하의 징역 또는 1억원 이하의 벌금에 처해집니다."
"['임차권등기명령 절차에 관한 규칙 2조', '지방세법 23조', '지방세법 28조', '지방세법 151조']",이사일이 결정되었는데도 집이 나가지 않아 먼저 이사를 가야만 하는 상황입니다. 집주인은 집이 나가야 돈을 줄 수 있다고 해서 할 수 없이 임차권등기명령신청을 하려고 합니다. 신청비용은 얼마인가요?,임차권 등기명령 신청 시 들어가는 비용은 다음과 같습니다.
"['공동주택 관리법 29조', '공동주택 관리법 30조', '공동주택 관리법 시행령 31조']","전세로 아파트에 살면서 관리비를 납부하고 있는데, 이 중 일부는 이사갈 때 집주인으로부터 돌려받을 수 있다고 들었어요. 어떤 내용인가요?","해당 내용은 장기수선충당금에 관한 것입니다. ""장기수선충당금""이란 공동주택의 관리주체가 장기수선계획에 따라 공동주택의 주요시설의 교체 및 보수에 필요한 금액을 해당 주택의 소유자로부터 징수하여 적립하는 것을 말합니다.
☞ ""장기수선충당금""이란 공동주택의 관리주체가 장기수선계획에 따라 공동주택의 주요시설의 교체 및 보수에 필요한 금액을 해당 주택의 소유자로부터 징수하여 적립하는 것을 말합니다.
☞ 장기수선충당금 돌려받기
· 장기수선충당금은 해당 주택의 소유자가 납부해야 합니다.
· 임차인은 장기수선충당금의 납부의무자가 아니므로 임차인이 해당 주택의 소유자를 대신하여 장기수선충당금을 납부한 경우에는 이사할 때 해당 주택의 소유자에게 그 납부금액의 정산을 받을 수 있습니다."
"['자동차관리법 84조', '자동차등록규칙 29조', '자동차등록규칙 11호', '자동차등록령 22조', '자동차등록령 24조', '자동차등록령 25조']",서울에 살다가 청주로 이사를 가게 되었어요. 이런 경우 자동차 변경등록을 해야 하나요?,"이사 등의 사유로 자동차의 사용본거지가 변경되었다면 변경사유가 발생한 날부터 30일 이내에 자동차 변경등록을 해야 하지만, 전입신고를 했다면 별도로 변경등록을 할 필요가 없습니다.
다만, 주소를 서울특별시에서 청주시로 옮기는 것처럼 다른 특별시·광역시 또는 도로 이전하는 경우로서 자동차등록번호판에 관할 관청의 기호표시(예를 들어 ""서울O 가 OOOO"")가 있는 지역 번호판을 사용하는 경우에는 전입신고와 별도로 자동차 변경등록을 신청해야 합니다.
☞ 이사 등의 사유로 개인 소유 자동차의 사용본거지가 변경되었다면 변경사유가 발생한 날부터 30일 이내에 자동차 변경등록을 해야 하지만, 전입신고를 했다면 별도로 변경등록을 할 필요가 없습니다.
※ 자동차 변경등록을 하지 않은 경우 변경등록 신청 지연기간 90일 이내에는 2만원의 과태료가, 신청 지연기간 90일 초과 174일 이내인 경우에는 2만원의 과태료에 91일째부터 계산하여 3일 초과 시마다 1만원의 과태료가 추가로 부과되고, 신청 지연기간이 175일 이상이면 30만원의 과태료가 부과됩니다.
☞ 자동차 변경등록을 신청하는 경우 다음의 서류를 제출해야 합니다.
· 자동차변경등록신청서"
"['자동차관리법 84조', '자동차등록규칙 29조', '자동차등록규칙 11호', '자동차등록령 22조', '자동차등록령 24조', '자동차등록령 25조']","신혼집으로 전세아파트를 얻어 다음 달에 이사합니다. 저희 부부에게 전 재산이나 다름없는 보증금을 안전하게 지키고 싶은데, 어떻게 하면 되나요?","◇ 확정일자받기
☞ 전세나 월세 세입자의 경우에는 가급적 이사당일에 전입신고를 하고 이와 더불어 임대차계약서상에 확정일자를 받아두는 것이 좋은데요. 이렇게 하면 소중한 보증금을 떼일 염려가 없도록 임차권에 대항력과 우선변제권이라는 힘이 생기기 때문입니다.
☞ 임차인은 주택임대차계약서 원본과 주민등록증, 운전면허증, 여권 또는 외국인등록증 등 본인을 확인할 수 있는 신분증을 소지하고 임차주택 소재지의 읍사무소, 면사무소, 동 주민센터 또는 시·군·구의 출장소에서 방문하면 확정일자를 부여받을 수 있습니다.
☞ 또한, 정보처리시스템을 이용하여 주택임대차계약을 체결한 경우 해당 주택의 임차인은 정보처리시스템을 통해 전자계약증서에 확정일자 부여를 신청할 수 있습니다. 이 경우 확정일자 부여 신청은 확정일자부여기관 중 주택 소재지의 읍·면사무소, 동 주민센터 또는 시(특별시·광역시·특별자치시는 제외하고, 특별자치도는 포함)·군·구(자치구를 말함)의 출장소에 대하여 합니다."
['소득세법 52조'],월세를 내고 살고 있는데 주택 월세에 대해 현금영수증을 받으려고 집주인에게 말했더니 사업자도 아닌데 어떻게 현금영수증을 해 주냐며 난색을 표하고 있습니다. 또한 현금영수증 신고도 하지 말라고 하네요. 현금영수증 신청은 어떻게 하나요? 임대인의 동의도 필요한가요?,"아닙니다. ① 임대사업자가 아닌 임대인에 대한 현금영수증 발급도 가능합니다. 또한 ② 임대인의 동의도 필요하지 않습니다.
☞ 주택 월세에 대해 현금영수증을 받는 방법은 2가지가 있습니다.
① 인터넷으로 신고하는 방법 : ""국세청 홈택스( https://www.hometax.go.kr )-상담/제보-현금영수증 민원신고-주택임차료(월세)"" 화면에서 현금거래 확인신청 신고서를 작성하고 임대차계약서 사본, 주민등록등본, 계좌이체 내역 등 월세 지급을 확인할 수 있는 서류를 첨부하여 신고하면 됩니다.
② 우편이나 방문해서 신고하는 방법 : 현금거래 확인신청 신고서를 작성하고 임대차계약서 사본, 주민등록등본, 계좌이체 내역 등 월세 지급을 확인할 수 있는 서류를 첨부하여 신고하면 됩니다."
"['초·중등교육법 시행령 21조', '초·중등교육법 시행령 73조', '초·중등교육법 시행령 89조']",이사를 해서 아이들의 학교를 옮기게 되었어요. 전학절차가 어떻게 되나요?,"초등학생의 경우 새 거주지의 주민센터에 전입신고를 하려가실 때 ""취학아동 전입통지서""를 받아두었다가 이 서류를 학교에 제출하면 바로 전학이 됩니다.
☞ 이사로 인해 초등학교의 학생이 전학하는 경우 그 학생의 보호자는 재학 중인 학교의 장과 해당 학생이 전입한 지역을 관할하는 읍·면·동의 장으로부터 전학할 학교로 지정받은 학교의 장에게 각각 그 사실을 알려야 합니다. 이 경우 학생의 보호자로부터 학생의 전학 사실을 통보받은 전학할 학교의 장은 해당 학생의 주소지 변경을 확인하기 위하여 「전자정부법」 제36조제1항에 따른 행정정보의 공동이용을 통하여 주민등록전산정보자료를 확인하여야 하며, 해당 학생의 보호자가 그 확인에 동의하지 않는 경우에는 주소지 변경이 확인되는 서류를 제출하게 해야 합니다.
☞ 이사로 인해 중학생이 전학하는 경우 ""전학용 재학증명서""를 떼어 해당 교육청에 제출하면 전입신고 시 거주지 관할 교육지원청에서 중학교를 배정해 줍니다.
☞ 이사로 인해 고등학생이 전학하는 경우 이사한 주소의 주민등록등본을 떼어 해당 교육청에 제출하여 학교를 배정받으면 됩니다.
· 일반 고등학교 재학생의 경우 거주지가 학군 또는 시·도가 다른 지역에서 이전된 경우에만 전학할 수 있습니다. 새 거주지의 학군에 소재하는 학교에는 결원이 없는 경우, 인근 학군에 소재하는 학교에는 결원이 있고 본인이 원하면 인근 학군에 소재하는 학교로의 전학할 수 있습니다.
※ 일반 고등학교 재학생의 전학절차와 방법에 관한 보다 자세한 사항 및 특성화고, 특목고, 자사고 등 일반고 이외의 고등학교 재학생의 전학절차와 방법에 관한 사항은 각 시·도 교육청에 문의하거나 해당 교육청 홈페이지에 접속하여 확인하실 수 있습니다."
"['공인중개사법 33조', '공인중개사법 32조', '공인중개사법 시행규칙 20조']",오피스텔 월세계약을 했는데 보증금 500만원에 월 35만원입니다. 그런데 중개보수로 30만원을 달라고 합니다. 너무 보수가 많은 것 같은데 이 금액이 맞는 건가요?,"청구된 보수가 약간 많은 것 같습니다. 오피스텔의 중개에 대한 보수는 매매·교환의 경우에는 거래금액의 0.5% 이내, 임대차 등의 경우에는 거래금액의 0.4% 이내에서 정하고 있습니다.
☞ 주택임대차에서 월세인 경우 거래금액의 계산방법은
① 보증금 외에 차임이 있는 경우 : (월 차임액 × 100) + 보증금
② ①의 금액이 5천만원 미만인 경우 : (월 차임액 × 70) + 보증금입니다.
☞ 보증금 500만원에 월35만원을 ①과 같이 계산했을 때 5천만원 미만에 해당하므로 정확한 계산은 ②번입니다. 즉, (350,000 × 70) + 5,000,000 = 29,500,000원이 거래금액입니다.
☞ 거래금액 29,500,000원인 오피스텔의 중개보수율은 0.4% 이하인데 보통은 0.4%의 요율로 계산한 금액을 받습니다. 따라서 중개보수는 29,500,000원 × 0.4% = 118,000 원입니다. 이보다 많은 금액을 청구하는 것은 불법이므로 차액은 주지 않으셔도 됩니다.
☞ 또한 주택 외 부동산의 거래 시 거래금액의 0.9% 이내에서 중개의뢰인과 부동산 개업공인중개사가 협의해 결정하도록 하고 있으므로, 너무 금액이 과다하다고 생각될 경우에는 적용 요율을 낮추어 주도록 개업공인중개사와 협상을 해 보는 것도 한 방법일 것입니다."
['도시 및 주거환경정비법 2조'],"재개발사업은 재건축사업과 어떤 차이가 있으며, 추진 절차는 어떻게 진행되나요?","재개발사업은 재건축사업과는 달리, 낙후된 주거환경까지 모두 정비하며 공공사업의 성격을 띄는 차이점이 있습니다."
"['도시 및 주거환경정비법 14조', '도시 및 주거환경정비법 2조']",제가 살고 있는 지역에서 재개발사업이 추진되고 있는데요. 정비계획의 변경을 제안하는 것이 가능할까요?,"정비구역에 위치한 토지 또는 건축물의 소유자 또는 그 지상권자(이하 ""토지등소유자""라 한다)는 정비계획의 입안권자에게 정비계획의 입안을 제안할 수 있습니다."
['도시 및 주거환경정비법 39조'],재개발사업조합의 조합원은 어떤 자격이 필요한가요?,재개발사업 정비구역 내의 토지 또는 건축물의 소유자 또는 그 지상권자는 자동으로 재개발사업의 조합원이 됩니다.
"['도시 및 주거환경정비법 시행령 54조', '공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 시행령 40조', '도시 및 주거환경정비법 59조']",재개발구역의 토지 또는 건축물의 소유자와 세입자 등을 위한 이주대책이 있나요?,재개발 정비구역 안에 소재한 토지 또는 건축물의 소유자 또는 그 지상권자 및 세입자는 이주대책 대상자가 됩니다.
"['도시 및 주거환경정비법 시행령 54조', '공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 시행규칙 54조']",재개발구역에서 거주하고 있는 세입자도 보상을 받을 수 있나요?,정비구역에서 3개월 이상 거주한 세입자는 4개월분의 주거이전비를 보상받을 수 있습니다.
"['도시 및 주거환경정비법 시행령 54조', '공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 시행규칙 54조']",재개발사업 정비구역에서 영업을 하던 사람들은 어떤 보상을 받나요?,"재개발사업으로 영업장소를 이전해야 하는 경우, 그 휴업기간에 해당하는 영업이익, 영업이익감소액 등 영업손실 비용을 보상받을 수 있습니다."
['도시 및 주거환경정비법 73조'],"분양신청을 하지 않는 경우, 어떤 보상을 받을 수 있나요?","재개발사업에 따른 분양신청을 하지 않은 경우, 해당 손실에 대한 협의를 통해 보상을 받을 수 있습니다."
"['도시 및 주거환경정비법 12조', '도시 및 주거환경정비법 시행규칙 3조', '도시 및 주거환경정비법 시행규칙 1호']","제가 거주하고 있는 아파트 단지에서 재건축을 실시하려 합니다. 재건축 사업을 시행할 수 있는지 안전진단의 실시를 요청하고 싶은데, 누구에게 어떻게 요청해야 하나요?","안전진단의 실시는 다음의 조건을 갖춘 자가 특별자치시장, 특별자치도지사, 시장, 군수 또는 구청장(이하 “시장·군수등”이라 함)에게 안전진단 요청서 등 서류를 갖추어 제출함으로써 요청할 수 있습니다.
☞ 다음의 어느 하나에 해당하는 자는 안전진단의 실시를 요청할 수 있습니다.
· 정비계획의 입안을 제안하려는 자가 입안을 제안하기 전에 해당 정비예정구역에 위치한 건축물 및 그 부속토지의 소유자 10분의 1 이상의 동의를 받아 안전진단의 실시를 요청하는 경우
· 정비예정구역을 지정하지 않은 지역에서재건축사업을 하려는 자가 사업예정구역에 있는 건축물 및 그 부속토지의 소유자 10분의 1 이상의 동의를 받아 안전진단의 실시를 요청하는 경우
· 내진성능이 확보되지 않은 건축물 중 중대한 기능적 결함 또는 부실 설계·시공으로 구조적 결함 등이 있는 건축물 중 「도시 및 주거환경정비법 시행령」 제2조제1항으로 정하는 건축물의 소유자로서 재건축사업을 시행하려는 자가 해당 사업예정구역에 위치한 건축물 및 그 부속토지의 소유자 10분의 1 이상의 동의를 받아 안전진단의 실시를 요청하는 경우
☞ 위의 자격요건 중 어느 하나에 해당하여 안전진단의 실시를 요청하려는 자는 다음의 서류(전자문서를 포함)를 시장·군수등에게 제출해야 합니다.
· 안전진단 요청서
· 사업지역 및 주변지역의 여건 등에 관한 현황도
· 결함부위의 현황사진"
"['도시 및 주거환경정비법 15조', '도시 및 주거환경정비법 시행령 13조']","재건축사업을 시행하는 정비구역이 지정되기까지, 주민들의 의견을 반영할 수 있는 절차 등이 있는지 궁금합니다.","정비계획을 입안하거나 변경하려면 주민에게 내용을 서면으로 통보하고, 주민설명회, 주민공람 등의 절차를 거쳐야 합니다.
☞ 정비계획의 입안권자는 정비계획을 입안하거나 변경하려면 주민에게 서면으로 통보한 후 주민설명회 및 30일 이상 주민에게 공람하여 의견을 들어야 하며, 이 경우 제시된 의견이 타당하다고 인정되면 이를 정비계획에 반영해야 합니다.
☞ 다만, 다음에 해당하는 경미한 사항을 변경하는 경우에는 주민에 대한 서면통보, 주민설명회, 주민공람 등의 절차를 생략할 수 있습니다.
「도시 및 주거환경정비법 시행령」에서 정하는 경미한 사항
1. 정비구역의 면적을 10퍼센트 미만의 범위에서 변경하는 경우(정비구역을 분할, 통합 또는 결합하는 경우는 제외) 2. 토지등소유자 유형별 분담금 추산액 및 산출근거를 변경하는 경우 3. 정비기반시설의 위치를 변경하는 경우와 정비기반시설 규모를 10퍼센트 미만의 범위에서 변경하는 경우 4. 공동이용시설 설치계획을 변경하는 경우 5. 재난방지에 관한 계획을 변경하는 경우 6. 정비사업시행 예정시기를 3년의 범위에서 조정하는 경우 7. 「건축법 시행령」 별표 1 각 호의 용도범위에서 건축물의 주용도(해당 건축물의 가장 넓은 바닥면적을 차지하는 용도를 말함)를 변경하는 경우 8. 건축물의 건폐율 또는 용적률을 축소하거나 10퍼센트 미만의 범위에서 확대하는 경우 9. 건축물의 최고 높이를 변경하는 경우 10. 「도시 및 주거환경정비법」 제66조에 따라 용적률을 완화하여 변경하는 경우 11. 도시·군기본계획, 도시·군관리계획 또는 기본계획의 변경에 따라 정비계획을 변경하는 경우 12. 「도시교통정비 촉진법」에 따른 교통영향평가 등 관계법령에 의한 심의결과에 따른 변경인 경우 13. 「공공주택 특별법」에 따른 공공주택의 세부 유형을 변경하는 경우 14. 「도시 및 주거환경정비법」 제23조제1항제2호에 따른 방법으로 시행하는 주거환경개선사업의 경우로서 사업시행자로 예정된 자를 변경하는 경우 15. 1, 3부터 9까지, 11, 12, 13 및 14와 유사한 사항으로서 정비계획에서 경미한 사항으로 결정한 사항을 변경하는 경우 16. 그 밖에 1. 3부터 9까지, 11, 12, 13 및 14와 유사한 사항으로서 시·도조례로 정하는 사항을 변경하는 경우"
['도시 및 주거환경정비법 19조'],"작은 건물을 하나 신축하고 싶은데, 재건축사업 정비구역으로 지정된 곳에 건축해도 될까요?","정비구역에서 건축물을 건축하려는 자는 특별자치시장, 특별자치도지사, 시장, 군수 또는 구청장의 허가를 받아야 합니다.
☞ 정비구역에서 다음의 어느 하나에 해당하는 행위를 하려는 자는 특별자치시장, 특별자치도지사, 시장, 군수 또는 구청장의 허가를 받아야 합니다.
허가가 필요한 행위
▪ 건축물의 건축 ▪ 공작물의 설치 ▪ 토지의 형질변경 ▪ 토석의 채취 ▪ 토지분할 ▪ 물건을 쌓아 놓는 행위 ▪ 「도시 및 주거환경정비법 시행령」 제15조제1항에서 정하는 행위"
"['도시 및 주거환경정비법 36조', '도시 및 주거환경정비법 시행령 30조', '도시 및 주거환경정비법 시행규칙 8조', '도시 및 주거환경정비법 시행규칙 6호']","조합의 설립인가를 받기 위해서는 정비구역의 토지등소유자들에게 동의를 받아야 하는 걸로 알고 있는데요, 구체적인 방법을 알고 싶습니다.","조합설립인가를 위해서는 조합설립 동의서에 토지등소유자(정비구역에 위치한 건축물 및 그 부속토지의 소유자. 신탁업자가 사업시행자로 지정되어 토지등소유자가 정비사업을 목적으로 신탁업자에게 신탁한 토지 또는 건축물에 대해서는 위탁자를 토지등소유자로 봄)가 성명을 적고 지장(指章)을 날인하여 동의를 받는 방법으로 합니다.
☞ 조합설립인가를 위한 동의는 다음의 사항이 포함된 조합설립 동의서에 동의를 받는 방법으로 합니다.
☞ 동의는 서면동의서에 토지등소유자가 성명을 적고 지장(指章)을 날인하는 방법으로 하며, 주민등록증, 여권 등 신원을 확인할 수 있는 신분증명서의 사본을 첨부해야 합니다.
☞ 이 때 서면동의서는 시장·군수등이 검인(檢印)한 서면동의서를 사용해야 하며, 검인을 받지 않은 서면동의서는 효력이 발생하지 않습니다.
동의서 포함사항
▪ 건설되는 건축물의 설계의 개요 ▪ 공사비 등 정비사업비용에 드는 비용 ▪ 정비사업비의 분담기준 ▪ 사업 완료 후 소유권의 귀속에 관한 사항 ▪ 조합의 정관"
['도시 및 주거환경정비법 43조'],"저희 조합의 조합장은 운영을 독단적으로 하는 등, 조합장으로서 자격이 충분하지 않은 것 같습니다. 조합장을 해임할 수 있나요?","네. 조합원 10분의 1 이상의 요구로 소집된 총회에서 요건을 갖추어 조합의 임원을 해임할 수 있습니다.
☞ 조합임원은 조합원 10분의 1 이상의 요구로 소집된 총회에서 조합원 과반수의 출석과 출석 조합원 과반수의 동의를 받아 해임할 수 있습니다.
☞ 이 경우 요구자 대표로 선출된 자가 해임 총회의 소집 및 진행을 할 때에는 조합장의 권한을 대행합니다.
☞ 만약, 조합장이 선임 당시 다음의 어느 하나에 해당하는 사람이었음이 판명되면 당연 퇴임합니다.
· 미성년자·피성년후견인 또는 피한정후견인
· 파산선고를 받고 복권되지 않은 사람
· 금고 이상의 실형을 선고받고 그 집행이 종료(종료된 것으로 보는 경우를 포함)되거나 집행이 면제된 날부터 2년이 경과되지 않은 사람
· 금고 이상의 형의 집행유예를 받고 그 유예기간 중에 있는 사람
· 「도시 및 주거환경정비법」을 위반하여 벌금 100만원 이상의 형을 선고받고 5년이 지나지 않은 사람"
['도시 및 주거환경정비법 64조'],"제가 거주하고 있는 아파트 단지에서 재건축사업이 시행될 예정인데, 조합설립에 동의하는지의 여부를 회답할 것을 촉구하는 서면을 받았습니다. 조합설립에 동의하지 않으면 어떻게 되나요?","조합설립에 동의하지 않을 경우 매도청구 절차를 거치게 됩니다.
☞ 재건축사업의 사업시행자는 사업시행계획인가의 고시가 있은 날부터 30일 이내에 조합설립에 동의하지 않은 자에게 조합설립 또는 사업시행자의 지정에 관한 동의 여부를 회답할 것을 서면으로 촉구해야 합니다.
☞ 2개월 이내에회답하지 않은 경우 조합설립에 동의하지 않겠다는 뜻을 회답한 것으로 봅니다.
☞ 2개월이 지나면 사업시행자는 그 기간이 만료된 때부터 2개월 이내에 조합설립에 동의하지 않겠다는 뜻을 회답한 사람에게 건축물 또는 토지의 소유권과 그 밖의 권리를 매도할 것을 청구할 수 있습니다."
"['재건축초과이익 환수에 관한 법률 7조', '재건축초과이익 환수에 관한 법률 9조', '재건축초과이익 환수에 관한 법률 12조']",재건축사업으로 일반주택의 정상적인 가격 상승분을 넘어서는 이익이 생길 경우 국가가 조합원들에게 이익의 일부를 부담금으로 환수한다고 들었습니다. 재건축부담금은 어떻게 산정하나요?,"재건축부담금은 재건축초과이익에 부과율을 곱하여 산정합니다.
공제대상 금액
▪ 개시시점 부과대상 주택의 가격 총액(이하 ""개시시점 주택가액""이라 함) ▪ 부과기간 동안의 개시시점 부과대상 주택의 정상주택가격상승분 총액 ▪ 개발비용 등"
